Question,GoodQ,BadQ
What excited you?;What drained you?;What are you grateful for?,0,0
Who are you jealous of?;Why?;What can you do to take yourself in that direction?,0,0
What is the worst thing that has happened to you in the last week?;How is it the best thing that has ever happened to you?,0,0
What are my 5 most important values?;Is my life mindset and daily actions aligned with them?,0,0
How do I like to spend my day?;What's my favorite way of spending a day off?;What is my perfect day?,0,0
What are 5 things I like the most about myself?;Why are these my strengths?,0,0
What are 5 things I like the least about myself?;What can I do to work and grow through them and unleash my full potential?,0,0
What words or quotes have impacted my life and changed the way I think about something?,0,0
What's the one thing I couldn't imagine my life without?,0,0
How did I get where I am today?;What shaped me?;What made me me?,0,0
Describe yourself in 10 words.;Describe yourself in 50 words.,0,0
What kind of impression do I tend to leave on people?;Is this the mark I want to leave?,0,0
Imagine a world where I could do everything I like without being judged.;Would anything change in my life?,0,0
In what situations do I undervalue myself?,0,0
What's something I wish I had known 5/10/15 years ago?;If I could give myself the advice I needed at that time how would my life change?;How can I apply this advice now?,0,0
What is the best day in my life so far?;Why?,0,0
What's the most outrageous thing I've ever done? How did it make me feel?,0,0
If I could travel back in time what moment would I go back to experience again right away?,0,0
What is 1 thing I learned from today/this week/month/year?,0,0
Who are the 5 people I spend most of my time with?;How do they make me feel?,0,0
What are my weak sides as a partner/friend/sibling/colleague I should work on?,0,0
Which relationships in my life could use some improvements?;What went wrong and what can I do to fix it?,0,0
What are the 3 things I look for in every relationship?;What do I bring to every relationship?,0,0
How do you show compassion to others?;How can you extend that same compassion to yourself?,,
What are three things working well in your current relationship?;What are three things that could be better?,,
What do you most want your children (or future children) to learn from you?,,
"List three things you’d like to tell a friend, family member, or partner.",,
What part of your workday do you most enjoy?,,
What are your career ambitions?,,
Finish this sentence: “My life would be incomplete without”,,
List three personal beliefs that you’re willing to reconsider or further explore.,,
What do you appreciate most about your personality?;What aspects do you find harder to accept?,,
"Describe yourself using the first 10 words that come to mind.;Then, list 10 words that you’d like to use to describe yourself.;List a few ways to transform those descriptions into reality.",,
What three changes can you make to live according to your personal values?,,
"Which emotions do you find hardest to accept (guilt, anger, disappointment, etc.)?;How do you handle these emotions?",,
"What parts of daily life cause stress, frustration, or sadness?;What can you do to change those experiences?",,
What go-to coping strategies help you get through moments of emotional or physical pain?,,
"If you had 6 months left to live, what would you do?;If you had a year left to live, what would you do?;If you had 5 years months left to live, what would you do?;If you had 20 years left to live, what would you do?",,
What would you do if you knew you could not fail?,,
What do you fear most? Have your fears changed throughout life?,,
Describe your favorite thing to do when feeling low.,,
What three ordinary things bring you the most joy?,,
Write down everything you wanted 5 years ago.;Write down everything you want now.; Write down everything you think you'll want in 5 years.,,
Describe two or three things you do to relax.,,
Write a short love letter to some object or place that makes you happy.,,
What are your favorite hobbies?;Why?,,
What parts of life surprised you most?;What turned out the way you expected it would?,,
What three things would you share with your teenage self?;What three questions would you want to ask an older version of yourself?,,
What do you look forward to most in the future?,,
"Identify one area where you’d like to improve.;Then, list three specific actions you can take to create that change.",,
"List three obstacles lying in the way of your contentment or happiness.;Then, list two potential solutions to begin overcoming each obstacle.",,
"What is one failure you experienced today, and what did you learn from it? ",,
Who made an impact on you today?,,
What do you feel especially grateful for today?,,
"If you could spend a day doing anything you wanted, what would you do?",,
Who is one person you look up to and why?,,
Write your eulogy: How do you want to be remembered?,,
"If you could have any one thing in the world, what would it be?",,
Describe a time you helped someone.,,
What color inspires you most?,,
What is your favorite word? Write it in several different ways. ,,
What am I proud of myself for?,,
Name an action you can take right now that your future self will thank you for,,
Write down 10 positive affirmations,,
What do you need to start saying “yes” to?,,
What compliment do you like to give to people? Give it to yourself,,
What labels do you assign to yourself?,,
Write a thank-you note to yourself,,
Write out what your “dream life” looks like,,
Name three good habits you’d like to cultivate,,
Write down five things you’re grateful for,,
What drained you of energy today? What gave you energy today?,,
